Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Aachen & Städteregion Aachen,Germany/NRW,2020-04-16T14:00:00,1583,54,1009,50.776418511,6.083679199
Bielefeld,Germany/NRW,2020-04-16T14:00:00,300,1,169,52.028204774,8.535003662
Bochum,Germany/NRW,2020-04-16T14:00:00,394,15,267,51.478389448,7.217330933
Bonn,Germany/NRW,2020-04-16T14:00:00,550,4,135,50.736455137,7.101974487
Borken (Kreis),Germany/NRW,2020-04-16T14:00:00,804,23,436,51.84432,6.85824
Bottrop,Germany/NRW,2020-04-16T14:00:00,101,5,49,51.5216,6.9289
Coesfeld (Kreis),Germany/NRW,2020-04-16T14:00:00,464,13,319,51.9489, 7.17
Dortmund,Germany/NRW,2020-04-16T14:00:00,578,3,333,51.5122,7.4652
Duisburg,Germany/NRW,2020-04-16T14:00:00,621,9,362,51.4386,6.7566
Düren (Kreis),Germany/NRW,2020-04-16T14:00:00,478,16,261,50.8025,6.4823
Düsseldorf,Germany/NRW,2020-04-16T14:00:00,844,14,457,51.2224, 6.7703
Ennepe-Ruhr-Kreis,Germany/NRW,2020-04-16T14:00:00,345,8,212,51.351,7.306
Essen,Germany/NRW,2020-04-16T14:00:00,647,27,356,51.4587,7.0196
Euskirchen (Kreis),Germany/NRW,2020-04-16T14:00:00,285,8,135,50.6603,6.7861
Gelsenkirchen,Germany/NRW,2020-04-16T14:00:00,258,8,106,51.51,7.0958
Gütersloh (Kreis),Germany/NRW,2020-04-16T14:00:00,555,14,375,51.9045,8.3771
Hagen,Germany/NRW,2020-04-16T14:00:00,183,2,96,51.3546,7.4652
Hamm,Germany/NRW,2020-04-16T14:00:00,354,14,152,51.6768,7.814
Heinsberg (Kreis),Germany/NRW,2020-04-16T14:00:00,1615,55,1175,51.0479,6.0947
Herford (Kreis),Germany/NRW,2020-04-16T14:00:00,296,4,149,52.1158,8.671
Herne,Germany/NRW,2020-04-16T14:00:00,120,1,57,51.5386,7.2221
Hochsauerlandkreis (Kreis),Germany/NRW,2020-04-16T14:00:00,526,11,285,51.3495,8.2823
Höxter,Germany/NRW,2020-04-16T14:00:00,235,1,110,51.7921,9.3459
Kleve (Kreis),Germany/NRW,2020-04-16T14:00:00,438,12,229,51.7846,6.1312
Köln,Germany/NRW,2020-04-16T14:00:00,2104,60,1618,50.9411,6.9543
Krefeld,Germany/NRW,2020-04-16T14:00:00,360,8,256,51.3349,6.5643
Leverkusen,Germany/NRW,2020-04-16T14:00:00,171,3,117,51.0353,6.9804
Lippe (Kreis),Germany/NRW,2020-04-16T14:00:00,590,19,267,51.9358,8.8783
Märkischer Kreis,Germany/NRW,2020-04-16T14:00:00,388,6,153,51.2189,7.6424
Mettmann (Kreis),Germany/NRW,2020-04-16T14:00:00,889,40,463,51.254,6.9756
Minden-Lübbecke (Kreis),Germany/NRW,2020-04-16T14:00:00,382,3,248,52.2934,8.9058
Mönchengladbach,Germany/NRW,2020-04-16T14:00:00,389,22,218,51.1948,6.4243
Mülheim / Ruhr,Germany/NRW,2020-04-16T14:00:00,132,4,83,51.43,6.8781
Münster,Germany/NRW,2020-04-16T14:00:00,622,7,482,51.962,7.6204
Oberbergischer Kreis,Germany/NRW,2020-04-16T14:00:00,386,9,226,51.0224,7.5572
Oberhausen,Germany/NRW,2020-04-16T14:00:00,157,,66,51.4686,6.8527
Olpe (Kreis),Germany/NRW,2020-04-16T14:00:00,470,15,205,51.0364,7.8841
Paderborn (Kreis),Germany/NRW,2020-04-16T14:00:00,512,21,131,51.7177,8.753
Recklinghausen (Kreis),Germany/NRW,2020-04-16T14:00:00,772,6,472,51.6054,7.2087
Remscheid,Germany/NRW,2020-04-16T14:00:00,166,3,74,51.1828,7.1988
Rhein-Erft-Kreis,Germany/NRW,2020-04-16T14:00:00,802,32,294,50.906,6.746
Rheinisch-Bergischer Kreis,Germany/NRW,2020-04-16T14:00:00,382,7,217,50.9982,7.1288
Rhein-Kreis Neuss,Germany/NRW,2020-04-16T14:00:00,527,12,411,51.135,6.63
Rhein-Sieg-Kreis,Germany/NRW,2020-04-16T14:00:00,973,19,441,50.7938,7.2077
Siegen-Wittgenstein (Kreis),Germany/NRW,2020-04-16T14:00:00,239,6,90,50.8796,8.0365
Soest (Kreis),Germany/NRW,2020-04-16T14:00:00,320,3,301,51.567,8.113
Solingen,Germany/NRW,2020-04-16T14:00:00,195,3,94,51.1725,7.0779
Steinfurt (Kreis),Germany/NRW,2020-04-16T14:00:00,1032,36,456,52.211,7.592
Unna (Kreis),Germany/NRW,2020-04-16T14:00:00,522,20,237,51.5369,7.6904
Viersen (Kreis),Germany/NRW,2020-04-16T14:00:00,499,22,166,51.2585,6.3858
Warendorf (Kreis),Germany/NRW,2020-04-16T14:00:00,414,6,294,51.965,7.998
Wesel (Kreis),Germany/NRW,2020-04-16T14:00:00,418,14,266,51.6555,6.6165
Wuppertal,Germany/NRW,2020-04-16T14:00:00,613,31,269,51.2628,7.1727
