Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Alfter,Germany/NRW Rhein-Sieg-Kreis,2020-04-17T11:00:00,55,1,45,50.7371,7.0103
Bad Honnef,Germany/NRW Rhein-Sieg-Kreis,2020-04-17T11:00:00,69,1,39,50.6495,7.2685
Bornheim,Germany/NRW Rhein-Sieg-Kreis,2020-04-17T11:00:00,96,1,45,50.7664,6.9784
Eitorf,Germany/NRW Rhein-Sieg-Kreis,2020-04-17T11:00:00,39,3,24,50.7662,7.4436
Hennef,Germany/NRW Rhein-Sieg-Kreis,2020-04-17T11:00:00,68,,51,50.7764,7.2857
Königswinter,Germany/NRW Rhein-Sieg-Kreis,2020-04-17T11:00:00,50,,34,50.6984,7.2434
Lohmar,Germany/NRW Rhein-Sieg-Kreis,2020-04-17T11:00:00,67,2,35,50.8625,7.2458
Meckenheim,Germany/NRW Rhein-Sieg-Kreis,2020-04-17T11:00:00,61,1,41,50.6207,7.0199
Much,Germany/NRW Rhein-Sieg-Kreis,2020-04-17T11:00:00,21,1,17,50.9,7.4189
Neunkirchen-Seelscheid,Germany/NRW Rhein-Sieg-Kreis,2020-04-17T11:00:00,29,,23,50.853,7.3255
Niederkassel,Germany/NRW Rhein-Sieg-Kreis,2020-04-17T11:00:00,36,,26,50.8198,7.046
Rheinbach,Germany/NRW Rhein-Sieg-Kreis,2020-03-17T11:00:00,50,1,29,50.6111,6.9461
Ruppichteroth,Germany/NRW Rhein-Sieg-Kreis,2020-04-17T11:00:00,10,,8,50.8393,7.4371
Sankt Augustin,Germany/NRW Rhein-Sieg-Kreis,2020-04-17T11:00:00,137,13,52,50.7758,7.1912
Siegburg,Germany/NRW Rhein-Sieg-Kreis,2020-04-17T11:00:00,73,,54,50.8025,7.2264
Swisttal,Germany/NRW Rhein-Sieg-Kreis,2020-04-17T11:00:00,26,2,18,50.6814,6.908
Troisdorf,Germany/NRW Rhein-Sieg-Kreis,2020-04-17T11:00:00,102,1,62,50.8131,7.1336
Wachtberg,Germany/NRW Rhein-Sieg-Kreis,2020-04-17T11:00:00,29,,19,50.6238,7.1167
Windeck,Germany/NRW Rhein-Sieg-Kreis,2020-04-17T11:00:00,10,1,6,50.7888,7.573
